"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"ITI E-Commerce Website","UI Authentication Management","User Register","0","0","14","0","0"
"ITI E-Commerce Website","UI Products","Products Search","0","0","8","0","0"
"ITI E-Commerce Website","UI Headers","Headers Navigation Bar","0","0","17","0","0"
"ITI E-Commerce Website","UI Authentication Management","User Login","0","0","7","0","0"
"ITI E-Commerce Website","UI Orders","User Can View Orders Data Correctly","0","0","3","0","0"
"ITI E-Commerce Website","UI Cart","User Can View Cart Data Correctly","1","0","2","3","0"
"ITI E-Commerce Website","UI Products","Add to Carts","0","0","6","0","0"
"ITI E-Commerce Website","UI Categoreis","User Can Categories Products","0","0","6","0","0"
